UID,composite_ID,test,congruence,theta,se_theta,Age,Age_c,TSVR_hours,recip_TSVR,log_TSVR
A010,A010_1,1,Common,1.6000581,0.1962873223365104,22.0,-22.57,1.0,0.5,0.6931471805599453
A010,A010_2,2,Common,0.4028944,0.1962873223365104,22.0,-22.57,21.9,0.04366812227074236,3.131136910560194
A010,A010_3,3,Common,-0.8561796,0.1962873223365104,22.0,-22.57,80.88,0.012212994626282366,4.405254760793088
A010,A010_4,4,Common,-0.14796121,0.1962873223365104,22.0,-22.57,145.31,0.00683480281593876,4.985727658390071
A011,A011_1,1,Common,0.5500402,0.1962873223365104,21.0,-23.57,1.0,0.5,0.6931471805599453
A011,A011_2,2,Common,0.75908333,0.1962873223365104,21.0,-23.57,24.57,0.03910833007430583,3.2414197893030954
A011,A011_3,3,Common,-0.6526953,0.1962873223365104,21.0,-23.57,72.55,0.013596193065941536,4.297965447047447
A011,A011_4,4,Common,-0.6465008,0.1962873223365104,21.0,-23.57,148.85,0.0066733400066733405,5.009634793762673
A012,A012_1,1,Common,0.48022103,0.1962873223365104,21.0,-23.57,1.0,0.5,0.6931471805599453
A012,A012_2,2,Common,-0.25840938,0.1962873223365104,21.0,-23.57,25.6,0.03759398496240601,3.2809112157876537
A012,A012_3,3,Common,0.65839624,0.1962873223365104,21.0,-23.57,166.33,0.005976214665630789,5.119967910506483
A012,A012_4,4,Common,0.055890147,0.1962873223365104,21.0,-23.57,166.87,0.005956990528385059,5.123189870334323
A013,A013_1,1,Common,-1.0432792,0.1962873223365104,22.0,-22.57,1.0,0.5,0.6931471805599453
A013,A013_2,2,Common,-0.48492253,0.1962873223365104,22.0,-22.57,24.77,0.038804811796662786,3.2492110246642736
A013,A013_3,3,Common,0.6412586,0.1962873223365104,22.0,-22.57,79.66,0.012397718819737169,4.390242789445222
A013,A013_4,4,Common,-1.0111758,0.1962873223365104,22.0,-22.57,147.13,0.006750826976304598,4.998090266593961
A014,A014_1,1,Common,0.1288651,0.1962873223365104,22.0,-22.57,1.0,0.5,0.6931471805599453
A014,A014_2,2,Common,1.320731,0.1962873223365104,22.0,-22.57,25.66,0.037509377344336084,3.2831643147505627
A014,A014_3,3,Common,0.48942116,0.1962873223365104,22.0,-22.57,70.56,0.01397428731134712,4.270536258640519
A014,A014_4,4,Common,-0.78735405,0.1962873223365104,22.0,-22.57,148.87,0.006672449456195369,5.009768251656904
A015,A015_1,1,Common,1.4246364,0.1962873223365104,23.0,-21.57,1.0,0.5,0.6931471805599453
A015,A015_2,2,Common,1.1372008,0.1962873223365104,23.0,-21.57,23.69,0.04050222762251924,3.206398303357088
A015,A015_3,3,Common,1.4038924,0.1962873223365104,23.0,-21.57,70.59,0.013968431345159939,4.270955399408094
A015,A015_4,4,Common,-0.47030097,0.1962873223365104,23.0,-21.57,146.54,0.0067778229632641995,4.9940993254561565
A016,A016_1,1,Common,1.3420854,0.1962873223365104,21.0,-23.57,1.0,0.5,0.6931471805599453
A016,A016_2,2,Common,0.5615982,0.1962873223365104,21.0,-23.57,32.85,0.029542097488921712,3.521938999358284
A016,A016_3,3,Common,0.17722866,0.1962873223365104,21.0,-23.57,80.64,0.01224889759921607,4.402319337941644
A016,A016_4,4,Common,-0.875939,0.1962873223365104,21.0,-23.57,150.8,0.006587615283267457,5.02256386496153
A017,A017_1,1,Common,-0.17695434,0.1962873223365104,24.0,-20.57,1.0,0.5,0.6931471805599453
A017,A017_2,2,Common,0.741939,0.1962873223365104,24.0,-20.57,20.61,0.04627487274409996,3.0731561705187946
A017,A017_3,3,Common,0.18003759,0.1962873223365104,24.0,-20.57,61.28,0.016056518946692355,4.131640346965797
A017,A017_4,4,Common,0.4956496,0.1962873223365104,24.0,-20.57,140.49,0.007067637288854335,4.952229043207861
A018,A018_1,1,Common,1.0604457,0.1962873223365104,23.0,-21.57,1.0,0.5,0.6931471805599453
A018,A018_2,2,Common,-0.07882557,0.1962873223365104,23.0,-21.57,34.03,0.02854695974878675,3.5562048372093953
A018,A018_3,3,Common,-1.0491173,0.1962873223365104,23.0,-21.57,83.64,0.011814744801512287,4.438406968109989
A018,A018_4,4,Common,0.44031787,0.1962873223365104,23.0,-21.57,150.87,0.00658457891617831,5.023024891742178
A019,A019_1,1,Common,-0.8709922,0.1962873223365104,20.0,-24.57,1.0,0.5,0.6931471805599453
A019,A019_2,2,Common,-0.35722595,0.1962873223365104,20.0,-24.57,28.69,0.03368137420006736,3.3908102887756684
A019,A019_3,3,Common,-0.8311249,0.1962873223365104,20.0,-24.57,83.68,0.011809163911195086,4.4388794462666645
A019,A019_4,4,Common,-0.5362667,0.1962873223365104,20.0,-24.57,154.76,0.006420133538777607,5.048316361063944
A020,A020_1,1,Common,0.3413008,0.1962873223365104,26.0,-18.57,1.0,0.5,0.6931471805599453
A020,A020_2,2,Common,0.4715719,0.1962873223365104,26.0,-18.57,26.85,0.03590664272890485,3.326832966373293
A020,A020_3,3,Common,0.16060348,0.1962873223365104,26.0,-18.57,78.25,0.012618296529968454,4.37260741275739
A020,A020_4,4,Common,-1.9810846,0.1962873223365104,26.0,-18.57,145.78,0.006812917291184085,4.9889348671169165
A021,A021_1,1,Common,0.80163884,0.1962873223365104,28.0,-16.57,1.0,0.5,0.6931471805599453
A021,A021_2,2,Common,0.10639259,0.1962873223365104,28.0,-16.57,30.21,0.03204101249599487,3.440738556282688
A021,A021_3,3,Common,0.81882334,0.1962873223365104,28.0,-16.57,74.19,0.013299640909695438,4.320018243389936
A021,A021_4,4,Common,0.684539,0.1962873223365104,28.0,-16.57,140.39,0.007072635971426551,4.951522029603749
A022,A022_1,1,Common,-0.5011533,0.1962873223365104,28.0,-16.57,1.0,0.5,0.6931471805599453
A022,A022_2,2,Common,0.2091155,0.1962873223365104,28.0,-16.57,24.15,0.039761431411530816,3.224857896545748
A022,A022_3,3,Common,0.274723,0.1962873223365104,28.0,-16.57,74.46,0.0132520540683806,4.323602714536165
A022,A022_4,4,Common,0.382118,0.1962873223365104,28.0,-16.57,141.71,0.007007217433956975,4.9608145991123
A023,A023_1,1,Common,0.56837475,0.1962873223365104,26.0,-18.57,1.0,0.5,0.6931471805599453
A023,A023_2,2,Common,-0.05869632,0.1962873223365104,26.0,-18.57,25.63,0.03755163349605708,3.282038399825841
A023,A023_3,3,Common,0.17865486,0.1962873223365104,26.0,-18.57,72.2,0.01366120218579235,4.293195420967266
A023,A023_4,4,Common,0.5444067,0.1962873223365104,26.0,-18.57,145.07,0.006846032724036421,4.984085958862719
